FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PCTWAITING
2009,Fraser,Langley Memorial Hospital,Hand/Wrist Surgery,12,41,0.226415094
2009,Fraser,Langley Memorial Hospital,Hip Replacement,38,111,0.255033557
2009,Fraser,Langley Memorial Hospital,Knee Replacement,106,239,0.307246377
2009,Fraser,Langley Memorial Hospital,Nasal Surgery,12,28,0.3
2009,Fraser,Langley Memorial Hospital,Nerve Surgery,0,0,1
2009,Fraser,Langley Memorial Hospital,Tendon Surgery,0,5,0
2009,Fraser,Peace Arch Hospital,Bladder Surgery,21,136,0.133757962
2009,Fraser,Peace Arch Hospital,Cataract Surgery,596,715,0.454614798
2009,Fraser,Peace Arch Hospital,Cholecystectomy,36,113,0.241610738
2009,Fraser,Peace Arch Hospital,Dental Surgery,5,13,0.277777778
2009,Fraser,Peace Arch Hospital,Examination Under Anaesthetic,0,5,0
2009,Fraser,Peace Arch Hospital,Facial Bone Reconstruction,5,18,0.217391304
2009,Fraser,Peace Arch Hospital,Fracture Repair,6,12,0.333333333
2009,Fraser,Peace Arch Hospital,Hand/Wrist Surgery,16,25,0.390243902
2009,Fraser,Peace Arch Hospital,Hip Replacement,38,57,0.4
2009,Fraser,Peace Arch Hospital,Knee Replacement,67,139,0.325242718
2009,Fraser,Peace Arch Hospital,Nasal Surgery,31,65,0.322916667
2009,Fraser,Peace Arch Hospital,Tendon Surgery,0,0,1
2009,Fraser,Royal Columbian Hospital,Bladder Surgery,18,76,0.191489362
2009,Fraser,Royal Columbian Hospital,Cholecystectomy,38,106,0.263888889
2009,Fraser,Royal Columbian Hospital,Cranial Surgery,14,235,0.0562249
2009,Fraser,Royal Columbian Hospital,Dental Surgery,5,13,0.277777778
2009,Fraser,Royal Columbian Hospital,Examination Under Anaesthetic,0,13,0
2009,Fraser,Royal Columbian Hospital,Facial Bone Reconstruction,0,5,0
2009,Fraser,Royal Columbian Hospital,Fracture Repair,15,232,0.060728745
2009,Fraser,Royal Columbian Hospital,Hand/Wrist Surgery,0,18,0
2009,Fraser,Royal Columbian Hospital,Hip Replacement,15,43,0.25862069
2009,Fraser,Royal Columbian Hospital,Knee Replacement,25,62,0.287356322
2009,Fraser,Royal Columbian Hospital,Nasal Surgery,0,0,1
2009,Fraser,Royal Columbian Hospital,Nerve Surgery,69,63,0.522727273
2009,Fraser,Royal Columbian Hospital,Tendon Surgery,0,74,0
2009,Interior,100 Mile District General Hospital,Dental Surgery,6,25,0.193548387
2009,Interior,Cariboo Memorial Hospital,Bladder Surgery,5,40,0.111111111
2009,Interior,Cariboo Memorial Hospital,Cholecystectomy,7,102,0.064220183
2009,Interior,Cariboo Memorial Hospital,Dental Surgery,0,5,0
2009,Interior,Creston Valley Hospital,Dental Surgery,0,5,0
2009,Interior,Creston Valley Hospital,Hand/Wrist Surgery,0,8,0
2009,Interior,East Kootenay Regional Hospital,Bladder Surgery,15,83,0.153061224
2009,Interior,East Kootenay Regional Hospital,Cataract Surgery,100,1111,0.082576383
2009,Interior,East Kootenay Regional Hospital,Cholecystectomy,20,95,0.173913043
2009,Interior,East Kootenay Regional Hospital,Dental Surgery,0,6,0
2009,Interior,East Kootenay Regional Hospital,Examination Under Anaesthetic,0,6,0
2009,Interior,East Kootenay Regional Hospital,Fracture Repair,0,5,0
2009,Interior,East Kootenay Regional Hospital,Hand/Wrist Surgery,6,20,0.230769231
2009,Interior,East Kootenay Regional Hospital,Hip Replacement,21,72,0.225806452
2009,Interior,East Kootenay Regional Hospital,Knee Replacement,73,137,0.347619048
2009,Interior,East Kootenay Regional Hospital,Nasal Surgery,74,128,0.366336634
2009,Interior,East Kootenay Regional Hospital,Tendon Surgery,5,6,0.454545455
2009,Interior,Elk Valley Hospital,Cholecystectomy,0,12,0
2009,Interior,Elk Valley Hospital,Dental Surgery,0,11,0
2009,Interior,Elk Valley Hospital,Hand/Wrist Surgery,6,16,0.272727273
2009,Interior,Kelowna General Hospital,Bariatric Surgery,0,0,1
2009,Interior,Kelowna General Hospital,Bladder Surgery,93,360,0.205298013
2009,Interior,Kelowna General Hospital,Cataract Surgery,434,1357,0.242322725
2009,Interior,Kelowna General Hospital,Cholecystectomy,119,209,0.362804878
2009,Interior,Kelowna General Hospital,Cranial Surgery,0,30,0
2009,Interior,Kelowna General Hospital,Dental Surgery,0,12,0
2009,Interior,Kelowna General Hospital,Facial Bone Reconstruction,98,78,0.556818182
2009,Interior,Kelowna General Hospital,Fracture Repair,13,63,0.171052632
2009,Interior,Kelowna General Hospital,Hand/Wrist Surgery,34,47,0.419753086
2009,Interior,Kelowna General Hospital,Hip Replacement,100,270,0.27027027
2009,Interior,Kelowna General Hospital,Knee Replacement,189,388,0.327556326
2009,Interior,Kelowna General Hospital,Lung Surgery,0,63,0
2009,Interior,Kelowna General Hospital,Nasal Surgery,169,147,0.534810127
2009,Interior,Kelowna General Hospital,Nerve Surgery,22,40,0.35483871
2009,Interior,Kelowna General Hospital,Rib Resection,33,32,0.507692308
2009,Interior,Kelowna General Hospital,Tendon Surgery,20,45,0.307692308
2009,Interior,Kootenay Boundary Regional Hospital,Bladder Surgery,19,56,0.253333333
2009,Interior,Kootenay Boundary Regional Hospital,Cataract Surgery,131,450,0.225473322
2009,Interior,Kootenay Boundary Regional Hospital,Cholecystectomy,23,109,0.174242424
2009,Interior,Kootenay Boundary Regional Hospital,Dental Surgery,0,22,0
2009,Interior,Kootenay Boundary Regional Hospital,Examination Under Anaesthetic,0,0,1
2009,Interior,Kootenay Boundary Regional Hospital,Fracture Repair,9,22,0.290322581
2009,Interior,Kootenay Boundary Regional Hospital,Hand/Wrist Surgery,15,26,0.365853659
2009,Interior,Kootenay Boundary Regional Hospital,Hip Replacement,34,82,0.293103448
2009,Interior,Kootenay Boundary Regional Hospital,Knee Replacement,44,123,0.263473054
2009,Interior,Kootenay Boundary Regional Hospital,Nasal Surgery,20,28,0.416666667
2009,Interior,Kootenay Boundary Regional Hospital,Nerve Surgery,6,9,0.4
2009,Interior,Kootenay Boundary Regional Hospital,Tendon Surgery,15,15,0.5
2009,Interior,Kootenay Lake Hospital,Bladder Surgery,0,16,0
2009,Interior,Kootenay Lake Hospital,Cataract Surgery,41,272,0.130990415
2009,Interior,Kootenay Lake Hospital,Dental Surgery,0,13,0
2009,Interior,Lillooet Hospital and Health Centre,Hand/Wrist Surgery,0,0,1
2009,Interior,Penticton Regional Hospital,Bladder Surgery,21,176,0.106598985
2009,Interior,Penticton Regional Hospital,Cholecystectomy,27,99,0.214285714
2009,Interior,Penticton Regional Hospital,Examination Under Anaesthetic,0,5,0
2009,Interior,Penticton Regional Hospital,Fracture Repair,0,0,1
2009,Interior,Penticton Regional Hospital,Hand/Wrist Surgery,20,95,0.173913043
2009,Interior,Penticton Regional Hospital,Hip Replacement,29,131,0.18125
2009,Interior,Penticton Regional Hospital,Knee Replacement,64,203,0.239700375
2009,Interior,Penticton Regional Hospital,Nasal Surgery,79,70,0.530201342
2009,Interior,Penticton Regional Hospital,Nerve Surgery,0,9,0
2009,Interior,Pleasant Valley Health Centre,Cataract Surgery,399,1785,0.182692308
2009,Interior,Queen Victoria Hospital,Dental Surgery,0,0,1
2009,Interior,Queen Victoria Hospital,Examination Under Anaesthetic,0,0,1
2009,Interior,Queen Victoria Hospital,Hand/Wrist Surgery,0,13,0
2009,Interior,Royal Inland Hospital,Bladder Surgery,105,269,0.280748663
2009,Interior,Royal Inland Hospital,Cataract Surgery,625,1361,0.31470292
2009,Interior,Royal Inland Hospital,Cholecystectomy,75,202,0.270758123
2009,Interior,Royal Inland Hospital,Cranial Surgery,0,18,0
2009,Interior,Royal Inland Hospital,Dental Surgery,114,169,0.402826855
2009,Interior,Royal Inland Hospital,Examination Under Anaesthetic,0,9,0
2009,Interior,Royal Inland Hospital,Facial Bone Reconstruction,0,11,0
2009,Interior,Royal Inland Hospital,Fracture Repair,15,66,0.185185185
2009,Interior,Royal Inland Hospital,Hand/Wrist Surgery,26,43,0.376811594
2009,Interior,Royal Inland Hospital,Hip Replacement,106,154,0.407692308
2009,Interior,Royal Inland Hospital,Knee Replacement,217,297,0.422178988
2009,Interior,Royal Inland Hospital,Nasal Surgery,179,30,0.85645933
2009,Interior,Royal Inland Hospital,Nerve Surgery,281,192,0.594080338
2009,Interior,Royal Inland Hospital,Rib Resection,0,0,1
2009,Interior,Royal Inland Hospital,Tendon Surgery,35,63,0.357142857
2009,Interior,Shuswap Lake General Hospital,Bladder Surgery,6,13,0.315789474
2009,Interior,Shuswap Lake General Hospital,Cholecystectomy,9,51,0.15
2009,Interior,Shuswap Lake General Hospital,Dental Surgery,0,13,0
2009,Interior,Shuswap Lake General Hospital,Hand/Wrist Surgery,24,61,0.282352941
2009,Interior,Shuswap Lake General Hospital,Nerve Surgery,0,6,0
2009,Interior,Summerland Memorial Health Centre,Cataract Surgery,109,1369,0.073748309
2009,Interior,Summerland Memorial Health Centre,Dental Surgery,25,46,0.352112676
2009,Interior,Summerland Memorial Health Centre,Nasal Surgery,92,27,0.773109244
2009,Interior,Vernon Jubilee Hospital,Bladder Surgery,34,169,0.167487685
2009,Interior,Vernon Jubilee Hospital,Cholecystectomy,35,188,0.156950673
2009,Interior,Vernon Jubilee Hospital,Dental Surgery,30,46,0.394736842
2009,Interior,Vernon Jubilee Hospital,Fracture Repair,0,8,0
2009,Interior,Vernon Jubilee Hospital,Hand/Wrist Surgery,46,114,0.2875
2009,Interior,Vernon Jubilee Hospital,Hip Replacement,82,138,0.372727273
2009,Interior,Vernon Jubilee Hospital,Knee Replacement,126,209,0.376119403
2009,Interior,Vernon Jubilee Hospital,Nasal Surgery,0,8,0
2009,Interior,Vernon Jubilee Hospital,Nerve Surgery,0,12,0
2009,Interior,Vernon Jubilee Hospital,Tendon Surgery,0,5,0
2009,Northern,Bulkley Valley District Hospital,Bladder Surgery,0,17,0
2009,Northern,Bulkley Valley District Hospital,Cholecystectomy,0,15,0
2009,Northern,Bulkley Valley District Hospital,Dental Surgery,0,6,0
2009,Northern,Bulkley Valley District Hospital,Fracture Repair,0,0,1
2009,Northern,Bulkley Valley District Hospital,Hand/Wrist Surgery,0,8,0
2009,Northern,Bulkley Valley District Hospital,Nasal Surgery,0,0,1
2009,Northern,Dawson Creek and District Hospital,Bladder Surgery,7,29,0.194444444
2009,Northern,Dawson Creek and District Hospital,Cholecystectomy,20,41,0.327868852
2009,Northern,Dawson Creek and District Hospital,Examination Under Anaesthetic,0,9,0
2009,Northern,Dawson Creek and District Hospital,Fracture Repair,7,16,0.304347826
2009,Northern,Dawson Creek and District Hospital,Hand/Wrist Surgery,0,0,1
2009,Northern,Dawson Creek and District Hospital,Hip Replacement,15,49,0.234375
2009,Northern,Dawson Creek and District Hospital,Knee Replacement,55,69,0.443548387
2009,Northern,Dawson Creek and District Hospital,Nerve Surgery,13,42,0.236363636
2009,Northern,Dawson Creek and District Hospital,Tendon Surgery,0,0,1
2009,Northern,Fort St John General Hospital,Bladder Surgery,10,30,0.25
2009,Northern,Fort St John General Hospital,Cataract Surgery,183,200,0.477806789
2009,Northern,Fort St John General Hospital,Cholecystectomy,25,83,0.231481481
2009,Northern,Fort St John General Hospital,Dental Surgery,0,6,0
2009,Northern,Fort St John General Hospital,Examination Under Anaesthetic,0,6,0
2009,Northern,Fort St John General Hospital,Hand/Wrist Surgery,14,39,0.264150943
2009,Northern,Fort St John General Hospital,Nasal Surgery,10,13,0.434782609
2009,Northern,Fort St John General Hospital,Nerve Surgery,0,0,1
2009,Northern,G.R. Baker Memorial Hospital,Bladder Surgery,8,35,0.186046512
2009,Northern,G.R. Baker Memorial Hospital,Cholecystectomy,5,57,0.080645161
2009,Northern,G.R. Baker Memorial Hospital,Dental Surgery,9,21,0.3
2009,Northern,G.R. Baker Memorial Hospital,Hand/Wrist Surgery,0,17,0
2009,Northern,G.R. Baker Memorial Hospital,Nasal Surgery,18,42,0.3
2009,Northern,Kitimat General Hospital,Cholecystectomy,0,23,0
2009,Northern,Kitimat General Hospital,Fracture Repair,0,7,0
2009,Northern,Kitimat General Hospital,Hand/Wrist Surgery,5,17,0.227272727
2009,Northern,Kitimat General Hospital,Hip Replacement,8,18,0.307692308
2009,Northern,Kitimat General Hospital,Knee Replacement,12,51,0.19047619
2009,Northern,Mills Memorial Hospital,Cataract Surgery,103,616,0.14325452
2009,Northern,St. John Hospital,Bladder Surgery,7,21,0.25
2009,Northern,St. John Hospital,Fracture Repair,0,0,1
2009,Northern,St. John Hospital,Hand/Wrist Surgery,8,17,0.32
2009,Northern,St. John Hospital,Nasal Surgery,8,42,0.16
2009,Northern,The University Hospital of Northern British Columbia,Bladder Surgery,75,170,0.306122449
2009,Northern,The University Hospital of Northern British Columbia,Cataract Surgery,244,820,0.229323308
2009,Northern,The University Hospital of Northern British Columbia,Cholecystectomy,43,180,0.192825112
2009,Northern,The University Hospital of Northern British Columbia,Dental Surgery,57,91,0.385135135
2009,Northern,The University Hospital of Northern British Columbia,Examination Under Anaesthetic,0,42,0
2009,Northern,The University Hospital of Northern British Columbia,Facial Bone Reconstruction,0,13,0
2009,Northern,The University Hospital of Northern British Columbia,Fracture Repair,49,44,0.52688172
2009,Northern,The University Hospital of Northern British Columbia,Hand/Wrist Surgery,23,30,0.433962264
2009,Northern,The University Hospital of Northern British Columbia,Hip Replacement,80,99,0.446927374
2009,Northern,The University Hospital of Northern British Columbia,Knee Replacement,378,194,0.660839161
2009,Northern,The University Hospital of Northern British Columbia,Nasal Surgery,18,24,0.428571429
2009,Northern,The University Hospital of Northern British Columbia,Nerve Surgery,7,8,0.466666667
2009,Northern,The University Hospital of Northern British Columbia,Tendon Surgery,11,24,0.314285714
2009,Northern,Wrinch Memorial Hospital,Bladder Surgery,0,8,0
2009,Northern,Wrinch Memorial Hospital,Nasal Surgery,0,0,1
2009,Provincial Health Services Authority,B.C. Cancer Agency,Examination Under Anaesthetic,0,7,0
2009,Provincial Health Services Authority,B.C. Women's Hospital,Examination Under Anaesthetic,0,10,0
2009,Vancouver Coastal,Lions Gate Hospital,Bladder Surgery,83,305,0.213917526
2009,Vancouver Coastal,Lions Gate Hospital,Cataract Surgery,457,2516,0.153716784
2009,Vancouver Coastal,Lions Gate Hospital,Cholecystectomy,65,198,0.247148289
2009,Vancouver Coastal,Lions Gate Hospital,Cranial Surgery,0,69,0
2009,Vancouver Coastal,Lions Gate Hospital,Fracture Repair,7,34,0.170731707
2009,Vancouver Coastal,Lions Gate Hospital,Hand/Wrist Surgery,5,8,0.384615385
2009,Vancouver Coastal,Lions Gate Hospital,Hip Replacement,57,283,0.167647059
2009,Vancouver Coastal,Lions Gate Hospital,Knee Replacement,156,419,0.271304348
2009,Vancouver Coastal,Lions Gate Hospital,Nasal Surgery,26,94,0.216666667
2009,Vancouver Coastal,Lions Gate Hospital,Nerve Surgery,0,25,0
2009,Vancouver Coastal,Lions Gate Hospital,Tendon Surgery,6,15,0.285714286
2009,Vancouver Coastal,Powell River General Hospital,Bladder Surgery,6,13,0.315789474
2009,Vancouver Coastal,Powell River General Hospital,Cataract Surgery,51,264,0.161904762
2009,Vancouver Coastal,Powell River General Hospital,Cholecystectomy,5,44,0.102040816
2009,Vancouver Coastal,Powell River General Hospital,Dental Surgery,7,52,0.118644068
2009,Vancouver Coastal,Powell River General Hospital,Examination Under Anaesthetic,9,54,0.142857143
2009,Vancouver Coastal,Powell River General Hospital,Hand/Wrist Surgery,0,16,0
2009,Vancouver Coastal,Richmond Hospital,Bladder Surgery,35,123,0.221518987
2009,Vancouver Coastal,Richmond Hospital,Cataract Surgery,274,1222,0.18315508
2009,Vancouver Coastal,Richmond Hospital,Cholecystectomy,98,121,0.447488584
2009,Vancouver Coastal,Richmond Hospital,Fracture Repair,11,28,0.282051282
2009,Vancouver Coastal,Richmond Hospital,Hand/Wrist Surgery,9,23,0.28125
2009,Vancouver Coastal,Richmond Hospital,Hip Replacement,61,158,0.278538813
2009,Vancouver Coastal,Richmond Hospital,Knee Replacement,178,357,0.33271028
2009,Vancouver Coastal,Richmond Hospital,Nasal Surgery,59,197,0.23046875
2009,Vancouver Coastal,Richmond Hospital,Nerve Surgery,0,12,0
2009,Vancouver Coastal,Richmond Hospital,Tendon Surgery,12,13,0.48
2009,Vancouver Coastal,Squamish General Hospital,Bladder Surgery,0,7,0
2009,Vancouver Coastal,Squamish General Hospital,Cholecystectomy,6,37,0.139534884
2009,Vancouver Coastal,Squamish General Hospital,Dental Surgery,0,7,0
2009,Vancouver Coastal,Squamish General Hospital,Examination Under Anaesthetic,0,11,0
2009,Vancouver Coastal,Squamish General Hospital,Fracture Repair,5,0,1
2009,Vancouver Coastal,Squamish General Hospital,Hand/Wrist Surgery,12,14,0.461538462
2009,Vancouver Coastal,Squamish General Hospital,Nasal Surgery,0,0,1
2009,Vancouver Coastal,St. Mary's Hospital,Bladder Surgery,0,0,1
2009,Vancouver Coastal,St. Mary's Hospital,Cataract Surgery,7,185,0.036458333
2009,Vancouver Coastal,St. Mary's Hospital,Cholecystectomy,0,17,0
2009,Vancouver Coastal,St. Mary's Hospital,Dental Surgery,11,39,0.22
2009,Vancouver Coastal,St. Mary's Hospital,Hand/Wrist Surgery,0,14,0
2009,Vancouver Coastal,St. Paul's Hospital,Bladder Surgery,59,225,0.207746479
2009,Vancouver Coastal,St. Paul's Hospital,Cholecystectomy,51,77,0.3984375
2009,Vancouver Coastal,St. Paul's Hospital,Fracture Repair,12,95,0.112149533
2009,Vancouver Coastal,St. Paul's Hospital,Hand/Wrist Surgery,61,126,0.326203209
2009,Vancouver Coastal,St. Paul's Hospital,Hip Replacement,17,92,0.155963303
2009,Vancouver Coastal,St. Paul's Hospital,Knee Replacement,23,93,0.198275862
2009,Vancouver Coastal,St. Paul's Hospital,Nasal Surgery,79,55,0.589552239
2009,Vancouver Coastal,St. Paul's Hospital,Nerve Surgery,7,30,0.189189189
2009,Vancouver Coastal,St. Paul's Hospital,Tendon Surgery,13,58,0.183098592
2009,Vancouver Coastal,UBC Health Sciences Centre,Bladder Surgery,54,376,0.125581395
2009,Vancouver Coastal,UBC Health Sciences Centre,Cholecystectomy,79,288,0.215258856
2009,Vancouver Coastal,UBC Health Sciences Centre,Dental Surgery,316,191,0.623274162
2009,Vancouver Coastal,UBC Health Sciences Centre,Facial Bone Reconstruction,22,130,0.144736842
2009,Vancouver Coastal,UBC Health Sciences Centre,Fracture Repair,7,10,0.411764706
2009,Vancouver Coastal,UBC Health Sciences Centre,Hand/Wrist Surgery,33,55,0.375
2009,Vancouver Coastal,UBC Health Sciences Centre,Hip Replacement,234,812,0.223709369
2009,Vancouver Coastal,UBC Health Sciences Centre,Knee Replacement,255,834,0.23415978
2009,Vancouver Coastal,UBC Health Sciences Centre,Nasal Surgery,175,339,0.340466926
2009,Vancouver Coastal,UBC Health Sciences Centre,Nerve Surgery,0,0,1
2009,Vancouver Coastal,UBC Health Sciences Centre,Tendon Surgery,7,44,0.137254902
2009,Vancouver Island,Campbell River and District General Hospital,Bladder Surgery,6,56,0.096774194
2009,Vancouver Island,Campbell River and District General Hospital,Cholecystectomy,12,106,0.101694915
2009,Vancouver Island,Campbell River and District General Hospital,Dental Surgery,137,211,0.393678161
2009,Vancouver Island,Campbell River and District General Hospital,Hand/Wrist Surgery,8,31,0.205128205
2009,Vancouver Island,Campbell River and District General Hospital,Hip Replacement,35,124,0.220125786
2009,Vancouver Island,Campbell River and District General Hospital,Knee Replacement,60,182,0.247933884
2009,Vancouver Island,Campbell River and District General Hospital,Nasal Surgery,15,56,0.211267606
2009,Vancouver Island,Campbell River and District General Hospital,Tendon Surgery,0,8,0
2009,Vancouver Island,Cowichan District Hospital,Bladder Surgery,14,95,0.128440367
2009,Vancouver Island,Cowichan District Hospital,Cataract Surgery,64,836,0.071111111
2009,Vancouver Island,Cowichan District Hospital,Cholecystectomy,18,116,0.134328358
2009,Vancouver Island,Cowichan District Hospital,Dental Surgery,70,130,0.35
2009,Vancouver Island,Cowichan District Hospital,Facial Bone Reconstruction,0,0,1
2009,Vancouver Island,Cowichan District Hospital,Hand/Wrist Surgery,32,67,0.323232323
2009,Vancouver Island,Cowichan District Hospital,Hip Replacement,43,98,0.304964539
2009,Vancouver Island,Cowichan District Hospital,Knee Replacement,84,164,0.338709677
2009,Vancouver Island,Cowichan District Hospital,Nasal Surgery,12,85,0.12371134
2009,Vancouver Island,Cowichan District Hospital,Nerve Surgery,9,18,0.333333333
2009,Vancouver Island,Cowichan District Hospital,Tendon Surgery,0,0,1
2009,Vancouver Island,Saanich Peninsula Hospital,Bladder Surgery,0,58,0
2009,Vancouver Island,Saanich Peninsula Hospital,Cataract Surgery,95,506,0.158069884
2009,Vancouver Island,Saanich Peninsula Hospital,Cholecystectomy,10,106,0.086206897
2009,Vancouver Island,Saanich Peninsula Hospital,Dental Surgery,10,50,0.166666667
2009,Vancouver Island,Saanich Peninsula Hospital,Examination Under Anaesthetic,0,14,0
2009,Vancouver Island,Saanich Peninsula Hospital,Hand/Wrist Surgery,10,37,0.212765957
2009,Vancouver Island,St. Joseph's General Hospital,Bladder Surgery,34,129,0.208588957
2009,Vancouver Island,St. Joseph's General Hospital,Cataract Surgery,379,1638,0.187902826
2009,Vancouver Island,St. Joseph's General Hospital,Cholecystectomy,38,139,0.214689266
2009,Vancouver Island,St. Joseph's General Hospital,Dental Surgery,68,142,0.323809524
2009,Vancouver Island,St. Joseph's General Hospital,Examination Under Anaesthetic,0,0,1
2009,Vancouver Island,St. Joseph's General Hospital,Fracture Repair,7,26,0.212121212
2009,Vancouver Island,St. Joseph's General Hospital,Hand/Wrist Surgery,7,5,0.583333333
2009,Vancouver Island,St. Joseph's General Hospital,Hip Replacement,54,66,0.45
2009,Vancouver Island,St. Joseph's General Hospital,Knee Replacement,112,114,0.495575221
2009,Vancouver Island,St. Joseph's General Hospital,Nasal Surgery,10,8,0.555555556
2009,Vancouver Island,St. Joseph's General Hospital,Nerve Surgery,0,5,0
2009,Vancouver Island,St. Joseph's General Hospital,Tendon Surgery,6,6,0.5
2009,Vancouver Island,Victoria General Hospital,Bariatric Surgery,17,0,1
2009,Vancouver Island,Victoria General Hospital,Bladder Surgery,226,323,0.411657559
2009,Vancouver Island,Victoria General Hospital,Cholecystectomy,95,219,0.302547771
2009,Vancouver Island,Victoria General Hospital,Cranial Surgery,6,53,0.101694915
2009,Vancouver Island,Victoria General Hospital,Dental Surgery,80,153,0.343347639
2009,Vancouver Island,Victoria General Hospital,Examination Under Anaesthetic,9,15,0.375
2009,Vancouver Island,Victoria General Hospital,Facial Bone Reconstruction,20,42,0.322580645
2009,Vancouver Island,Victoria General Hospital,Fracture Repair,7,16,0.304347826
2009,Vancouver Island,Victoria General Hospital,Hand/Wrist Surgery,9,29,0.236842105
2009,Vancouver Island,Victoria General Hospital,Hip Replacement,47,109,0.301282051
2009,Vancouver Island,Victoria General Hospital,Knee Replacement,68,146,0.317757009
2009,Vancouver Island,Victoria General Hospital,Nasal Surgery,54,109,0.331288344
2009,Vancouver Island,Victoria General Hospital,Nerve Surgery,21,53,0.283783784
2009,Vancouver Island,Victoria General Hospital,Tendon Surgery,10,21,0.322580645
2009,Vancouver Island,West Coast General Hospital,Bladder Surgery,41,60,0.405940594
2009,Vancouver Island,West Coast General Hospital,Cholecystectomy,9,58,0.134328358
2009,Vancouver Island,West Coast General Hospital,Hand/Wrist Surgery,14,26,0.35
2009,Vancouver Island,West Coast General Hospital,Nerve Surgery,7,24,0.225806452
2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Bladder Surgery,94,277,0.253369272
